title,company,location,summary,salary
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
"Experience Management Scientist, Employee Experience",Qualtrics,,"Item design and data collection. Able to analyse and interpret data, and report back insights to customers....",
Machine learning software developer,AInsoff,,"Building end to end machine learning systems on large scale clinical data. Our goal is to combine the best of data science, machine learning and clinical...","$100,000 - $200,000 a year"
"Strategic Cloud Engineer, Machine Learning or Big Data, Clou...",Google,,"Experience working with recommendation engines, data pipelines, or distributed Machine Learning and experience with data analytics and data visualization...",
Quantitative Analyst,Australian Securities Exchange (ASX),," Experience with the analysis and visualisation of complex data sets (D3, Highcharts, etc.). Design, support and improve the models, concepts and quantitative...",
Credit Risk Analytics- Data Scientist,Progressive Recruitment,,The Data Scientist will be comfortable preparing big data infrastructure to be analysed by Data Scientists....,$400 - $500 a day
Senior Data Science (Loyalty) :: $170K + Super + Bonus :: Sy...,Correlate Resources,,Senior Data Scientist (Loyalty) ::. One of Australia’s most iconic brands are looking to hire a Senior Data Scientist to work on their loyalty programmes....,"$170,000 a year"
Principal Data Scientist - Pricing & Economic Capital Models,Hays Onsite at Toyota,,"Your main accountabilities as the Principal Data Scientist – Pricing & Economic Capital Models will include:. Reporting to the Head of Data Science, you will be...",
Data Analyst - Research,ARG Workforce,,Support the data analyst and economic statistical team. Compiling data sets for a whole range of integrators. Karlka Recruiting Group has partnered with a State...,
Web Application Engineer,Quantium,,"We work in multi-discipline teams so you’ll be working alongside Data Scientists, Analysts, Testers and Devops engineers, depending on the project....",
Quantitative Analyst,Autumn Compass,,"Although we were only established in 2015, through the efforts of our talented engineers, scientists and strategists, we have achieved excellent levels of...",
